user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_ERR8314731_MAG2	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Succinivibrionaceae	UBA2810	UBA2810 sp002351705
AtH2023_ERR8314731_MAG3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004554455
AtH2023_ERR8314731_MAG4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_ERR8314731_MAG5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp900766785
AtH2023_ERR8314731_MAG6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251295
AtH2023_ERR8314731_MAG7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251365
AtH2023_ERR8314731_MAG8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004552115
AtH2023_ERR8314731_MAG9	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004557185
AtH2023_ERR8314738_MAG1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
AtH2023_ERR8314738_MAG2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp945637645
AtH2023_ERR8314738_MAG3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002299275
AtH2023_ERR8314738_MAG4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004554455
AtH2023_ERR8314738_MAG5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004552115
AtH2023_ERR8314738_MAG6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251295
AtH2023_ERR8314738_MAG7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp022773825
